programa,part_number,dic,ene,feb,mar,abr,may,total,pico
ASCEND,ASCND-4RU-12RT,400,448,300,448,448,560,2604,May-25: 560
ASCEND,ASCND-2RU-12RT,500,400,400,500,400,400,2600,Dic+Mar: 500
ASCEND,ASCND-1RU-12RT,232,290,232,232,290,232,1508,Feb+May: 290
AFL HYPER,HCF-48U-SPL-001,0,60,80,60,60,40,300,Feb-25: 80
AFL HYPER,HCF-48U-ODF-003,28,35,28,14,0,0,105,Ene-25: 35
ASCEND,ASCND-4RU-8RT,0,200,0,0,0,0,200,Ene-25: 200
ASCEND,ASCND-1RU-8RT,0,0,0,100,0,200,300,May-25: 200
ASCEND,ASCND-2RU-8RT,100,0,0,0,0,0,100,Dic-24: 100
