source_file,sheet_name,model,operator_no,station_no,cart,bin_location,step_no,component_part,quantity,process_route,width,depth,height,volume,storage,bin_model,bin_capacity,batch_size,days_of_stock,required_bins,assembled_using,tool_used
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C15-B1-PB15,,23,ASY-03145-02;A0,1.0,TURR - BRK - PEM,13.7,1.8,0.8,19.728,Bin,1,85.0,85.0,3.4,1.0,SK41H 2x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C17-B2-PB17,,24,MTL-02237-04;A0,1.0,TURR - BRK,17.1,13.7,0.5,117.135,Bin,2,93.0,90.0,3.6,0.967741935483871,SK41H x7,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,6.0,C18-B2-PB18,,25,"B ASY-05269-03;B0
(FRAME)",1.0,BUY,23.0,17.5,1.0,402.5,Bin,2,27.0,54.0,2.16,2.0,fas-00391 X7,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C15-B1-PB15,,26,MTL-02434-01;A0,1.0,LSR - BRK,17.0,0.7,0.8,9.52,Bin,1,176.0,100.0,4.0,0.5681818181818182,"Assemble to 
MTL-02236-04;A0",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C17-B2-PB17,,26,MTL-02236-04;A0,1.0,TURR - BRK,17.0,13.7,0.5,116.44999999999999,Bin,2,93.0,94.0,3.76,1.010752688172043,SK41H x6,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,6.0,C15-B1-PB15,,29,ASY-03135-03;A0,1.0,TURR - BRK - PEM,17.1,3.1,0.4,21.204000000000004,Bin,1,79.0,79.0,3.16,1.0,SK41H 13x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,6.0,C15-B1-PB15,,30,MTL-02212-01;A0,2.0,LSR,1.2,0.9,0.04,0.0432,Bin,1,38656.0,200.0,4.0,0.005173841059602649,SK41H 4x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C19-B2-PB19,,31,MTL-02220-03;A0,1.0,TURR - BRK,17.1,13.2,1.9,428.868,Bin,2,26.0,52.0,2.08,2.0,SK41H 12x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,6.0,C15-B1-PB15,,32,MTL-03697-01;A0,1.0,LSR - BRK,16.2,3.7,0.8,47.952,Bin,1,100.0,100.0,4.0,1.0,SK41H 6x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C20-B2-PB20,,33,ASY-03139-03;A0,1.0,TURR - BRK - PEM,17.1,14.4,0.8,196.99200000000005,Bin,2,55.0,100.0,4.0,1.8181818181818181,SK41H 8x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,6.0,C16-B1-PB16,,35,MTL-02738-01;A0,1.0,TURR - BRK,16.3,1.2,0.6,11.735999999999999,Bin,1,143.0,93.0,3.72,0.6503496503496503,SK41H 5x,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,6.0,C16-B1-PB16,,36,A GSKT-00349,2.0,BUY,17.0,0.5,0.2,1.7000000000000002,Bin,1,983.0,200.0,4.0,0.2034587995930824,Stick onto part,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C16-B1-PB16,,37,ASY-04776-01;B0,1.0,,2.5,1.0,0.1,0.25,Bin,1,6680.0,100.0,4.0,0.014970059880239521,"FAS-00532
15 in/lbs",Atornillador
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C16-B1-PB16,,37,A MECH-01754-04,18.0,BUY,1.2,0.7,0.6,0.504,Bin,1,3314.0,1800.0,4.0,0.5431502715751357,"Assembled to
ASY-04776-01;B0",Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,3.0,5.0,C16-B1-PB16,,39,A CBL-00408-05;B0,1.0,BUY,5.0,0.7,0.3,1.05,Bin,1,1591.0,100.0,4.0,0.06285355122564425,"FAS-00381 x4
FAS-00380 x4","Atornillador
40 in/lbs"
