source_file,sheet_name,process_sheet_number,end_item_part,parent_part,work_center,step_number,run_setup,operation_code,component_part,description,standard_rate,lead_time,crew_size
North face - Components matrix 1.xlsx,Assy WC,ASY-03143-06;A0,ASY-03143-06;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,22.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03143-06;A0,ASY-03143-06;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03145-02;A0,ASY-03145-02;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03145-02;A0,ASY-03145-02;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03145-02;A0,ASY-03145-02;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,44.25,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03145-02;A0,ASY-03145-02;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,24.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,120.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6APEM,00200,R,400,,INSERCION DE PEM,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,24.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,150.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,80.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM,00200,R,400,,INSERCION DE PEM,150.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM,00220,R,400,,INSERCION DE PEM,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03156-03;A0,ASY-03156-03;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6N044,00110,R,102,,PUNZONADO EN TORRETA,18.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,12.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03157-02;A0,ASY-03157-02;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,26.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,15.15,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03158-05;A0,ASY-03158-05;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,5.62,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6N03,00110,R,104,,CORTE LASER AMADA,114.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO DE FILOS,120.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6BRG,00140,R,303,,ESTAMPADO NO PARTE,250.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6BRK,00160,R,302,,DOBLADORA AMADA,105.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03183-03;A0,ASY-03183-03;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,24.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03184-05;A0,ASY-03184-05;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,40.0,0.0,1.0
