Process Sheet Number,EndItemPartNumber,Parent:,Work Center/Vendor,Description 1,Description 2,Step Number,Run/Setup,Operation Code,Component Part Number,Description 11,Description 21,Standard Rate,Lead Time,Crew Size,Overlap Step Number,Overlap Quantity
ASY-03145-02;A0,ASY-03145-02;A0,ASY-53727-127;A0,6APEM ,JCG 11 09 19,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-1 (2X),60,0,1,,0
ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6N042 ,JCG 11 10 19,,00110,R,102  ,,PUNZONADO EN TORRETA, CON ALIMENTADOR,24,0,1,,0
ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6DBR ,JCG 11 10 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6BRK ,JCG 11 10 19,,00140,R,302  ,,DOBLADORA AMADA,,60,0,1,,0
ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00160,R,400  ,,INSERCION DE PEM,  PEM MECH-02384-02,120,0,1,,0
ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00180,R,400  ,,INSERCION DE PEM, GPSS-M3-6-P (2X),60,0,1,,0
ASY-03152-06;A0,ASY-03152-06;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00200,R,400  ,,INSERCION DE PEM, CLS-M4-1 (2X),60,0,1,,0
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6N042 ,JCG 11 10 19,,00110,R,102  ,,PUNZONADO EN TORRETA, CON CARGADOR,24,0,1,,0
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6DBR ,JCG 11 10 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6BRK ,JCG 11 10 19,,00140,R,302  ,,DOBLADORA AMADA,,60,0,1,,0
ASY-03153-05;A0,ASY-03153-05;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00160,R,400  ,,INSERCION DE PEM, MECH-02384-02,150,0,1,,0
