,,,,,,,,,,,
Weekly demand:,400,,,,,,,,,,
,,,,Primary operations:,,,Brake - Pem,,,Press:,
Area:,Hours available:,Leadtime:,,Workcenter:,∑ Hours:,,Workcenter:,∑ Hours:,,Workcenter:,∑ Hours:
Primary ops:,378,719.3094187431693,,6N02,7.017543859649122,,BR130,25,,6P200,9.333333333333334
Midfield:,1134,2099.2743459783487,,6N03,90.64888298461472,,BRK80,62.5,,6P20C,35.692307692307686
Press,126,117.02325744431006,,6N04,248.6808012941662,,RG100,35.666666666666664,,6P250,32.11483253588517
,,,,6N041,43.528190790867114,,6BATC,27.764705882352942,,6P25C,26.549450549450547
Area:,Machines:,,,6N042,229.7429718875502,,6BRG,12.8,,6MACH,13.333333333333334
Primary ops:,3,,,6N043,26.666666666666668,,6BRK,569.6515023918247,,,
Midfield:,9,,,6N044,22.22222222222222,,6APEM,1028.8914710375043,,Midfield:,
Press,1,,,6N045,50.80213903743316,,6DBR,318.66666666666663,,6SLK,18.333333333333336
,,,,,,,,,,,
Process Sheet Number,End Item Part Number,Quantity:,Work Center/Vendor,Step Number,Run/Setup,Description 11,Standard Rate,Lead Time,Crew Size,1W batch hours:,
ASY-03153-05;A0,ASY-03153-05;A0,1,6BRK,00140,R,DOBLADORA AMADA,60,0,1,6.666666666666667,
ASY-03153-05;A0,ASY-03153-05;A0,1,6APEM,00160,R,INSERCION DE PEM,150,0,1,2.6666666666666665,
ASY-03153-05;A0,ASY-03153-05;A0,1,6APEM,00180,R,INSERCION DE PEM,80,0,1,5,
ASY-03153-05;A0,ASY-03153-05;A0,1,6APEM,00200,R,INSERCION DE PEM,150,0,1,2.6666666666666665,
ASY-03153-05;A0,ASY-03153-05;A0,1,6APEM,00220,R,INSERCION DE PEM,40,0,1,10,
ASY-03156-03;A0,ASY-03156-03;A0,1,6N042,00110,R,PUNZONADO EN TORRETA,60,0,1,6.666666666666667,
ASY-03156-03;A0,ASY-03156-03;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-03156-03;A0,ASY-03156-03;A0,1,6BRK,00140,R,DOBLADORA AMADA,20,0,1,20,
ASY-03156-03;A0,ASY-03156-03;A0,1,6APEM,00160,R,INSERCION DE PEM,20,0,1,20,
ASY-03157-02;A0,ASY-03157-02;A0,1,6N044,00110,R,PUNZONADO EN TORRETA,18,0,1,22.22222222222222,
ASY-03157-02;A0,ASY-03157-02;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-03157-02;A0,ASY-03157-02;A0,1,6BRK,00140,R,DOBLADORA AMADA,12,0,1,33.333333333333336,
ASY-03157-02;A0,ASY-03157-02;A0,1,6APEM,00160,R,INSERCION DE PEM,20,0,1,20,
ASY-03158-05;A0,ASY-03158-05;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,26,0,1,15.384615384615385,
ASY-03158-05;A0,ASY-03158-05;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,60,0,1,6.666666666666667,
ASY-03158-05;A0,ASY-03158-05;A0,1,6BRK,00140,R,DOBLADORA AMADA,15.15,0,1,26.402640264026402,
ASY-03158-05;A0,ASY-03158-05;A0,1,6APEM,00160,R,INSERCION DE PEM,5.62,0,1,71.17437722419929,
ASY-03183-03;A0,ASY-03183-03;A0,1,6N03,00110,R,CORTE LASER AMADA,114,0,1,3.508771929824561,
ASY-03183-03;A0,ASY-03183-03;A0,1,6DBR,00120,R,REBABEO DE FILOS,120,0,1,3.3333333333333335,
ASY-03183-03;A0,ASY-03183-03;A0,1,6BRG,00140,R,ESTAMPADO NO PARTE,250,0,1,1.6,
ASY-03183-03;A0,ASY-03183-03;A0,1,6BRK,00160,R,DOBLADORA AMADA,105,0,1,3.8095238095238093,
ASY-03183-03;A0,ASY-03183-03;A0,1,6APEM,00180,R,INSERCION DE PEM,40,0,1,10,
ASY-03184-05;A0,ASY-03184-05;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,24,0,1,16.666666666666668,
ASY-03184-05;A0,ASY-03184-05;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,60,0,1,6.666666666666667,
ASY-03184-05;A0,ASY-03184-05;A0,1,6BRK,00140,R,DOBLADORA AMADA,40,0,1,10,
ASY-03184-05;A0,ASY-03184-05;A0,1,6BRK,00160,R,DOBLADORA AMADA,35,0,1,11.428571428571429,
ASY-03184-05;A0,ASY-03184-05;A0,1,6APEM,00180,R,INSERCION DE PEM,13,0,1,30.76923076923077,
ASY-03185-02;A0,ASY-03185-02;A0,3,6N03,00110,R,CORTE LASER AMADA,42.3,0,1,28.368794326241137,
ASY-03185-02;A0,ASY-03185-02;A0,3,6BRG,00130,R,ESTAMPADO DE NUMERO DE,250,0,1,4.8,
ASY-03185-02;A0,ASY-03185-02;A0,3,6BRK,00150,R,DOBLADORA AMADA,40,0,1,30,
ASY-03185-02;A0,ASY-03185-02;A0,3,6APEM,00170,R,INSERCION DE PEM,15,0,1,80,
ASY-03187-07;A0,ASY-03187-07;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,15,0,1,26.666666666666668,
ASY-03187-07;A0,ASY-03187-07;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-03187-07;A0,ASY-03187-07;A0,1,6BRK,00140,R,DOBLADORA AMADA,60,0,1,6.666666666666667,
ASY-03187-07;A0,ASY-03187-07;A0,1,6APEM,00160,R,INSERCION DE PEM,120,0,1,3.3333333333333335,
ASY-03187-07;A0,ASY-03187-07;A0,1,6APEM,00180,R,INSERCION DE PEM,12,0,1,33.333333333333336,
ASY-03187-07;A0,ASY-03187-07;A0,1,6APEM,00200,R,INSERCION DE PEM,50,0,1,8,
ASY-03187-07;A0,ASY-03187-07;A0,1,6ASB,00210,R,ENSAMBLE SEGUN DIBUJO,150,0,1,2.6666666666666665,
ASY-03188-06;A0,ASY-03188-06;A0,1,6N042,00110,R,PUNZONADO EN TORRETA,12,0,1,33.333333333333336,
ASY-03188-06;A0,ASY-03188-06;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,60,0,1,6.666666666666667,
ASY-03188-06;A0,ASY-03188-06;A0,1,6BRK,00140,R,DOBLADORA AMADA,20,0,1,20,
ASY-03188-06;A0,ASY-03188-06;A0,1,6BRK,00160,R,DOBLADORA AMADA,20,0,1,20,
ASY-03188-06;A0,ASY-03188-06;A0,1,6APEM,00180,R,INSERCION DE PEM,13,0,1,30.76923076923077,
ASY-03188-06;A0,ASY-03188-06;A0,1,6APEM,00200,R,INSERCION DE PEM,30,0,1,13.333333333333334,
ASY-03189-05;A0,ASY-03189-05;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,55,0,1,7.2727272727272725,
ASY-03189-05;A0,ASY-03189-05;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-03189-05;A0,ASY-03189-05;A0,1,6BRK,00140,R,DOBLADORA AMADA,25,0,1,16,
ASY-03189-05;A0,ASY-03189-05;A0,1,6APEM,00160,R,INSERCION DE PEM,30,0,1,13.333333333333334,
ASY-03278-05;A0,ASY-03278-05;A0,4,6AARI,00110,R,ENSAMBLE SEGUN DIBUJO,8,0,1,200,
ASY-03327-02;A0,ASY-03327-02;A0,2,6N03,00110,R,CORTE LASER AMADA,180,0,1,4.444444444444445,
ASY-03327-02;A0,ASY-03327-02;A0,2,6BRG,00130,R,ESTAMPADO NO PARTE,250,0,1,3.2,
ASY-03327-02;A0,ASY-03327-02;A0,2,6BRK,00150,R,DOBLADORA AMADA,48,0,1,16.666666666666668,
ASY-03327-02;A0,ASY-03327-02;A0,2,6APEM,00170,R,INSERCION DE PEM,60,0,1,13.333333333333334,
ASY-03327-02;A0,ASY-03327-02;A0,2,6APEM,00190,R,INSERCION DE PEM,60,0,1,13.333333333333334,
ASY-03327-02;A0,ASY-03327-02;A0,2,6ASB,00210,R,ENSAMBLE SEGUN DIBUJO,50,0,1,16,
ASY-03330-03;A0,ASY-03330-03;A0,2,6AARI,00110,R,ENSAMBLE SEGUN DIBUJO,25,0,1,32,
ASY-03333-04;A0,ASY-03333-04;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,300,0,1,1.3333333333333333,
ASY-03333-04;A0,ASY-03333-04;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-03333-04;A0,ASY-03333-04;A0,1,6BRK,00140,R,DOBLADORA AMADA,300,0,1,1.3333333333333333,
ASY-03333-04;A0,ASY-03333-04;A0,1,6APEM,00160,R,INSERCION DE PEM,60,0,1,6.666666666666667,
ASY-03668-01;A0,ASY-03668-01;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,200,0,1,2,
ASY-03668-01;A0,ASY-03668-01;A0,1,6DBR,00120,R,REBABEO PARA MANEJO,100,0,1,4,
ASY-03668-01;A0,ASY-03668-01;A0,1,6BRK,00140,R,DOBLADORA AMADA,145,0,1,2.7586206896551726,
ASY-03668-01;A0,ASY-03668-01;A0,1,6APEM,00160,R,INSERCION DE PEM,40,0,1,10,
ASY-03727-27;A0,ASY-03727-27;A0,1,6AARI,00100,R,ENSAMBLE SEGUN,0.667,0,2,1199.4002998500748,
ASY-03727-27;A0,ASY-03727-27;A0,1,6AARI,00110,R,PRUEBA EN EL CUARTO ,0.667,0,2,1199.4002998500748,
ASY-04138-02;A0,ASY-04138-02;A0,2,6ASAN,00100,R,ENSAMBLE SEGUN DIBUJO,120,0,1,6.666666666666667,
ASY-04181-02;A0,ASY-04181-02;A0,1,6N04,00110,R,PUNZONADO EN TORRETA,80,0,1,5,
