,,50 A WEEK,,,,,Weekly Demand:,125,,Batch size in days:,3,,,,,,,,,,,,,,,,,,
,Model:,Operator:,Station:,Cart:,Bin:,Step:,Component:,Quantity:,Process route:,Image:,Widht:,Depth:,Height:,in3:,Storage:,Bin model:,Bin capacity:,Batch size:,Days of stock:,Required bins,Bin location:,Assembled using:,Tool used to assemble:,,,,,,
,ASY-03128-24;A0,1,1,C1-B1-PB1-WS#1,,1,MTL-02321-01;A0,1,LSR - BRK,,17,0.6,0.8,8.16,Bin,1,205,100,4,0.4878048780487805,,Place in fixture,Manually,,Type:,Part numbers assignment,Carts needed:,Cart dimensions:,Space used:
,ASY-03128-24;A0,1,1,C5-B2-PB5-WS#1,,2,ASY-05258-01;A0,1,TURR - BRK - PEM,,21,18.6,0.7,273.42,Bin,2,40,80,3.2,2,,SK41H x6,Rivet gun,,Cart,4,,,
,ASY-03128-24;A0,1,1,C1-B1-PB1-WS#1,,3,GSKT-00352,1,BUY,,10,0.5,0.5,2.5,Bin,1,668,100,4,0.1497005988023952,,"Stick onto
 ASY-05258-01;A0",Manually,,Bin 1,82,13.5,2.1' x 4.6',
,ASY-03128-24;A0,1,1,C1-B1-PB1-WS#1,,3,GSKT-00353,1,BUY,,10.5,0.5,0.5,2.625,Bin,1,637,100,4,0.15698587127158556,,"Stick onto
 ASY-05258-01;A0",Manually,,Bin 2,36,26.5,2.1' x 4.6',"9 x 3 Array
18.9' x 13.8'"
,ASY-03128-24;A0,1,1,C1-B1-PB1-WS#1,,4,MTL-02217-01;A0,1,TURR - BRK,,15.7,1.5,1.2,28.259999999999994,Bin,1,60,120,4.8,2,,SK41H x14,Rivet gun,,,,,,
,ASY-03128-24;A0,1,1,C6-B2-PB6-WS#1,,4,ASY-05257-01;A0,1,TURR - BRK - PEM,,21,17.5,1.2,441,Bin,2,25,50,2,2,,"Assembled to 
MTL-02217-01;A0",Rivet gun,,Bin,Bin ID,Outter dim,Inner dim,Inner vol
,ASY-03128-24;A0,1,2,C7-B2-PB7-WS#2,,5,ASY-05277-02;A0,1,TURR - BRK - PEM,,22.8,17.2,0.8,313.728,Bin,2,35,70,2.8,2,,SK41H x14,Rivet gun,,42185T92,1,11 x 23.87 x 10,9.4 x 18.7 x 9.5,1669.91
,ASY-03128-24;A0,1,2,C2-B1-PB2-WS#2,,6,MTL-02324-02;A0,1,TURR - BRK,,16.1,1.2,0.4,7.728000000000001,Bin,1,217,100,4,0.4608294930875576,,SK41H x9,Rivet gun,,	28765T78,2,23.87 x 35.87 x 17.5,22.4 x 28.3 x 17.2,10780.125
,ASY-03128-24;A0,1,2,C2-B1-PB2-WS#2,,6,MTL-02214-01;A1,1,LSR - BRK - OSP,,17,1.4,0.4,9.52,Bin,1,176,100,4,0.5681818181818182,,"Assembled to
MTL-02324-02;A0",Rivet gun,,,,,,
