,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punzonado,,Corte Laser,Estampado,,,,Rebabeo Manual,Machueleado,Externo,,,,Maquinado,"Rebabeo 
Por Vibracion",Inspeccion,Estampado Térmico,Insercion PEM,"Doblado 
Amada",,,Externo,,,,"Lijado 
(Time saver)","Rebabeo 
Por Vibracion",Insercion PEM,Soldadura,,,,,Rebabeo Manual,Inspeccion,"Prep Pintura 
(Enmascarillado)",Pintura,,Estampado,,,,Insercion PEM,Serigrafía,Subensamble,Ensamble Final,,,,,,,,,INSPECCION,Ensamble Final,,,,,,,,,,,,,,,TOTAL PROCESOS (38),
,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torreta,Combo,,110,200,250,300,,,,,,,,,,,,BRK,ATC,RG,,,,,,,,Perno,MicroAlam,Punto,TIG,Robot,,,,PNT,SEMI,110,200,250,300,,,Empty,Amphenol,Arista,Friedrich,Hyperscale,Linecards,Sanmina,AFL ASCN,AFL NO/ASCND,Otros Ensam,,335 - 224,223 - 156,155 - 124,123 - 98,97 - 70,69 - 49,48 - 35,34 - 23,22 - 15,14 - 10, '9 - 6,´5 - 3,2 - 0.25,,,# Procesos,Total Work Content
AFL,ASCEND,ASCND-2RU-8RT;23,2RU BASE 8 RAMP ASCEND,348.86,453518,1300,109,34886,100,20,0.0,0.0,0.0,100.0,200.0,250.0,200.0,0.0,250.0,200.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,34886.0,69772.0,87215.0,69772.0,0.0,87215.0,69772.0,34886.0,0.0,0.0,34886.0,0.0,0.0,0.0,0.0, , , , , ,X, ,X, ,X, , , , , ,X,X, , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , ,X, , , ,,,,,,,,,,,,,,,,7,
AFL,Ascend,ASCND-4RU-12RT;23,4RU-12RT ASCEND ASSY,471.95,1461157.2,3096,258,1040177.7999999999,2204,441,150.0,350.0,0.0,0.0,200.0,250.0,100.0,300.0,200.0,448.0,400.0,400.0,448.0,300.0,448.0,448.0,560.0,448.0,,65340.0,159182.5,0.0,0.0,94390.0,117987.5,47195.0,141585.0,94390.0,211433.6,188780.0,188780.0,211433.6,141585.0,211433.6,211433.6,264292.0,211433.6,X,X, , , ,X, ,X, ,X, , , , , ,X,X, ,X, , , , , , ,X, ,X, , , , , , , ,X,X, , , , , , ,X, , , , , , , ,X, , ,X,,,,,,,,,,,,,,,,15,
AFL,Ascend,ASCND-4RU-8RT;23,4RU-8RT ASCEND ASSY,468.32,187328,400,34,93664,200,40,200.0,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,,93664.0,0.0,0.0,93664.0,0.0,0.0,46832.0,0.0,0.0,0.0,46832.0,0.0,0.0,0.0,93664.0,0.0,0.0,0.0,X,X, , , ,X, ,X, ,X, , , , , ,X,X, ,X, , , , , , ,X, ,X, , , , , , , ,X,X, , , , , , ,X, , , , , , , ,X, , ,X,,,,,,,,,,,,,,,,15,
AFL,HYPERSCALE,HCF-48U-ODF002;11,48U FRAME ASSEMBLY,2814.12,396790.92,141,12,0,0,0,46.0,69.0,20.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,129449.51999999999,194174.28,56282.399999999994,146334.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,X,X, , , , , ,X,X, , , , , , , , ,X, ,X, , , , , , , , ,X,X,X, ,X,X,X,X, , , , , , ,X, , , , ,X, , , , , ,X,,,,,,,,,,,,,,,,17,
AFL,HYPERSCALE,HCF-48U-ODF-004;4,48U FRAME ASSEMBLY,0,0,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3210.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,X,X, , , , , , , , , , , , , , , ,X, ,X, , , , , , ,X, ,X, ,X, ,X, ,X,X, , , , , , ,X, , , , ,X, , , , , ,X,,,,,,,,,,,,,,,,14,
AMAT,AMAT,0022-13130;04,BRACKET H2 SENSOR C3,5.38,1059.86,197,17,0,0,0,3.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.14,1059.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , ,X,X, , , , , , , , , , , , , , , , ,X,X,,,,,,,,,,,,,,,,6,
AMAT,AMAT,0010-59216;07,"ASSEMBLY,LOWER DOOR,MI",721.83,2165.4900000000002,3,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2165.4900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , , , , , , , , , ,X, , , , , , , , ,X, , ,X,X, ,X, ,X,X, , , , , , , , , , , , , , , , ,X,X,,,,,,,,,,,,,,,,10,
AMAT,AMAT,0021-96687;05,"BRACKET,FRONT SIDE BRA",120.2,360.6,3,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,360.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , , ,X, , ,,,,, ,, , , , ,X, ,X, ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,8,
AMAT,AMAT,0040-01983;AD,"PANEL, WATER DISTRIBUT",511.04,1533.1200000000001,3,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1533.1200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , ,X, ,X, ,X, ,X,X, ,,,,, , , , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,10,
AMAT,AMAT,0041-61872;06,"ENCLOSURE, FACILITY MA",762.75,2288.25,3,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2288.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,X, , , , , , , ,,, , , , , ,X,X, , ,,,,, ,, , , , ,X, , , ,X,X, ,,,,, ,X, , , , , , , , , ,X,X, , , , , , , , , , , , , ,,,9,
