,,
,,
,,NORTH FACE
,,ENSAMBLE
,Fabricacion,Estacion 1
,,Estacion 2
,,Estacion 3
,H,Estacion 4
,,Estacion 5
,Empaque,Estacion 6
,,Estacion 7
,Integracion,Estacion 8
,,Estacion 9
,Testing,Estacion 10
,Empaque,Estacion 12
